"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";"TP_SIGNAL_NAME";"VALUE";
"1";"DNP";"C-EUC0402";"C0402";"C72";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"2";"DNP";"C-EUC0603";"C0603";"C69, C71";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"13";"DNP";"R-EU_R0603";"R0603";"R4, R9, R17, R19, R21, R24, R25, R26, R27, R28, R66, R69, R72";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";
"1";"DS1100LU-20+";"DS1100L";"MSOP8";"IC7";"";"";"";"";"";"";"";"";"";"";
"1";"EXTRA_1";"KEYSTONE_5000";"KEYSTONE_5000_MINIATURE";"TP18";"";"";"";"";"";"";"";"";"";"";
"1";"EXTRA_2";"KEYSTONE_5000";"KEYSTONE_5000_MINIATURE";"TP19";"";"";"";"";"";"";"";"";"";"";
"1";"EXTRA_3";"KEYSTONE_5000";"KEYSTONE_5000_MINIATURE";"TP20";"";"";"";"";"";"";"";"";"";"";
"1";"EXTRA_4";"KEYSTONE_5000";"KEYSTONE_5000_MINIATURE";"TP21";"";"";"";"";"";"";"";"";"";"";
"2";"GND";"KEYSTONE_5000";"KEYSTONE_5000_MINIATURE";"TP5, TP22";"";"";"";"";"";"";"";"";"";"";
"6";"HFA3134";"HFA3134";"SOT23-6L";"IC5, IC11, IC12, IC13, IC23, IC27";"";"";"";"";"";"";"";"";"";"HFA3134";
"2";"HFA3135";"HFA3135";"SOT23-6L";"IC6, IC8";"";"";"";"";"";"";"";"";"";"HFA3135";
"1";"IRLML6402TRPBF";"MOSFET-PWIDE";"SOT23-WIDE";"Q1";"P-Channel Mosfet";"";"";"";"";"";"";"";"";"";
"1";"JST_VERT";"JST_VERTICAL";"JST-6-SMD-VERT-1.0MM";"PROG";"";"";"";"";"";"";"CONN-08249";"";"";"";
"2";"KEYSTONE-7774";"KEYSTONE-7774";"KEYSTONE-7774";"X3, X6";"";"";"";"";"";"";"";"";"";"KEYSTONE-7774";
"1";"LM1117";"LM1117";"SOT-223";"IC32";"";"";"";"";"";"";"";"";"";"";
"2";"LT1534-1";"LT1534";"SO16";"IC3, IC10";"";"";"";"";"";"";"";"";"";"LT1534-1";
"1";"LTC1711";"LTC1711";"MSOP8";"IC14";"";"";"";"";"";"";"";"";"";"";
"1";"MAX572X";"MAX572X";"TSSOP20";"IC31";"";"";"";"";"";"";"";"";"";"";
"1";"MCP4725";"DAC_MCP4725";"SOT23-6";"U1";"MCP4725 - 12-Bit I2C DAC with on-board EEPROM";"";"";"";"";"";"";"";"";"";
"1";"MCU_RST";"E-SWITCH-TL3305AF160QG";"E-SWITCH-TL3305AF160QG";"SW1";"";"";"";"";"";"";"";"";"";"";
"2";"MI0805J102R-10";"INDUCTOR0805";"R0805";"L8, L10";"";"";"";"";"";"";"";"";"";"";
"1";"MMBTH10";"MMBTH10LT1-NPN-SOT23-BEC";"SOT23-BEC";"T1";"NPN Transistror";"";"";"";"";"";"";"";"";"";
