"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"VALUE";
"2";"RES SMD 510R 0603";"R-EU_R0603";"R0603";"R1, R2";"RESISTOR, European symbol";"";"";"";"";"";
"1";"RES SMD 84.5K OHM 1% 1/10W 0603";"R-EU_R0603";"R0603";"R53";"RESISTOR, European symbol";"";"";"";"";"";
"2";"SL23HE3_A/I";"SCHOTTKY-DIODESMD";"SMB";"D1, D2";"Schottky Diode";"";"";"";"";"";
"1";"STAT0=LO";"LEDCHIP-LED0805";"CHIP-LED0805";"LED2";"LED";"";"";"";"";"";
"1";"STAT1=LO";"LEDCHIP-LED0805";"CHIP-LED0805";"LED1";"LED";"";"";"";"";"";
"1";"STAT_LED_EN";"JP1Q";"JP1";"JP2";"JUMPER";"";"";"";"";"";
"1";"TI_USB2ANY";"CON_OST_302-S101";"CON_OST_302-S101";"JP1";"";"";"";"";"";"";
"2";"TPS7A8001DRBR";"TPS7A8001DRBR";"DRB8_1P75X1P5";"IC2, IC3";"";"";"";"";"";"TPS7A8001DRBR";
"1";"V_IN_EXT";"22-23-2021";"22-23-2021";"X6";".100" (2.54mm) Center Header - 2 Pin";"MOLEX";"22-23-2021";"1462926";"25C3832";"";
"1";"XO_MARGIN";"JP8Q";"JP8Q";"JP14";"JUMPER";"";"";"";"";"";
