Partlist

Exported from aqc-rev1.sch at 2/8/2017 6:35:12 PM

EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                       Device                      Package                     Library                                    Sheet
R22      49R9                        R-EU_R0603                  R0603                       rcl                                        5
R23      470R                        R-EU_R0603                  R0603                       rcl                                        5
R24      100R                        R-EU_R0402                  R0402                       rcl                                        4
R25      100R                        R-EU_R0603                  R0603                       rcl                                        5
R26      10k                         R-EU_R0603                  R0603                       rcl                                        5
R27      49R9                        R-EU_R0603                  R0603                       rcl                                        5
R28      49R9                        R-EU_R0603                  R0603                       rcl                                        5
R29      DNP                         R-EU_R0603                  R0603                       rcl                                        5
R30      DNP                         R-EU_R0603                  R0603                       rcl                                        5
R31      DNP                         R-EU_R0603                  R0603                       rcl                                        4
R32      DNP                         R-EU_R0603                  R0603                       rcl                                        5
R33      DNP                         R-EU_R0603                  R0603                       rcl                                        4
R34      DNP                         R-EU_R0603                  R0603                       rcl                                        5
R35      DNP                         R-EU_R0603                  R0603                       rcl                                        5
R36      470R                        R-EU_R0805                  R0805                       resistor                                   2
R37      470R                        R-EU_R0805                  R0805                       resistor                                   2
R38      DNP                         R-EU_R0603                  R0603                       rcl                                        6
R39      DNP                         R-EU_R0603                  R0603                       rcl                                        6
R40      DNP                         R-EU_R0603                  R0603                       rcl                                        6
R41      DNP                         R-EU_R0603                  R0603                       rcl                                        6
R42      DNP                         R-EU_R0603                  R0603                       rcl                                        6
R43      DNP                         R-EU_R0603                  R0603                       rcl                                        6
RT1      3269W-1-102LF               BOURNS_3269WX               3269W                       meng                                       4
RT2      3269W-1-102LF               BOURNS_3269WX               3269W                       meng                                       6
RT3      3269W-1-102LF               BOURNS_3269WX               3269W                       meng                                       6
RT4      3269W-1-102LF               BOURNS_3269WX               3269W                       meng                                       6
SW1      CJS-1200TB                  CJS-1200TB                  CJS-1200TB                  meng                                       6
SW2      CJS-1200TB                  CJS-1200TB                  CJS-1200TB                  meng                                       6
SW3      CJS-1200TB                  CJS-1200TB                  CJS-1200TB                  meng                                       6
T1       MMBTH10                     MMBTH10LT1-NPN-SOT23-BEC    SOT23-BEC                   transistor                                 3
T2       MMBTH10                     MMBTH10LT1-NPN-SOT23-BEC    SOT23-BEC                   transistor                                 3
T3       MMBTH10                     MMBTH10LT1-NPN-SOT23-BEC    SOT23-BEC                   transistor                                 3
T4       MMBTH10                     MMBTH10LT1-NPN-SOT23-BEC    SOT23-BEC                   transistor                                 3
T5       MMBTH10                     MMBTH10LT1-NPN-SOT23-BEC    SOT23-BEC                   transistor                                 3
T6       MMBTH10                     MMBTH10LT1-NPN-SOT23-BEC    SOT23-BEC                   transistor                                 3
T7       MMBTH10                     MMBTH10LT1-NPN-SOT23-BEC    SOT23-BEC                   transistor                                 3
TP1      TPTP08R                     TPTP08R                     TP08R                       testpad                                    5
TP2      VREF_AV_DET                 KEYSTONE_5000               KEYSTONE_5000_MINIATURE     Kramnik's Library                          4
TP3      GND                         KEYSTONE_5000               KEYSTONE_5000_MINIATURE     Kramnik's Library                          4
TP4      TPTP20R                     TPTP20R                     TP20R                       testpad                                    2
TP5      TPTP20R                     TPTP20R                     TP20R                       testpad                                    2
TP6      TPTP20R                     TPTP20R                     TP20R                       testpad                                    2
TP7      TPTP20R                     TPTP20R                     TP20R                       testpad                                    2
TP8      TPTP20R                     TPTP20R                     TP20R                       testpad                                    2
TP9      TPTP20R                     TPTP20R                     TP20R                       testpad                                    2
TP10     VREF_CASCODE_IBIAS          KEYSTONE_5000               KEYSTONE_5000_MINIATURE     Kramnik's Library                          6
TP11     VREF_DIAMOND_IBIAS          KEYSTONE_5000               KEYSTONE_5000_MINIATURE     Kramnik's Library                          6
TP12     VREF_ONE_SHOT               KEYSTONE_5000               KEYSTONE_5000_MINIATURE     Kramnik's Library                          6
TP13     GND                         KEYSTONE_5000               KEYSTONE_5000_MINIATURE     Kramnik's Library                          6
U1       SN65EPT21DGK                SN65EPT21DGK                SOP65P490X110-8N            Texas Instruments_By_element14_Batch_1     4
U2       SN65EPT22DGK                SN65EPT22DGK                SOP65P490X110-8N            Texas Instruments_By_element14_Batch_1     4
U3       TPS78233DDCT                TPS78233DDCT                SOT95P280X110-5N            Texas Instruments_By_element14_Batch_1 (2) 2
X1       CONN_SPAD                   SMA-142-0711-871/876        J502-ND-142-0711-871/876    con-coax                                   3
X2       CONN_PHOTON_COUNTER         SMA-142-0711-871/876        J502-ND-142-0711-871/876    con-coax                                   5
X3       CONN_VREF_CASCODE_IBIAS_EXT SMA-142-0711-871/876        J502-ND-142-0711-871/876    con-coax                                   6
X4       CONN_VREF_DIAMOND_IBIAS_EXT SMA-142-0711-871/876        J502-ND-142-0711-871/876    con-coax                                   6
X5       CONN_VREF_ONE_SHOT_EXT      SMA-142-0711-871/876        J502-ND-142-0711-871/876    con-coax                                   6
X6       CONN_FORCE_QUENCH           SMA-142-0711-871/876        J502-ND-142-0711-871/876    con-coax                                   5
